Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Outlet_Sales_25%,Item_Outlet_Sales_75%,Item_Visiblity_25%,Item_Visbility_75%
0.10196820275,Dairy,249.8092,Medium,Tier 1,Supermarket Type1,3296.20935,788.973,3296.20935,0.0312908765,0.10196820275
0.094603404,Soft Drinks,48.2692,Medium,Tier 3,Supermarket Type2,2759.0752,771.6622,2759.0752,0.024961677,0.094603404
0.085274988,Meat,141.618,Medium,Tier 1,Supermarket Type1,3036.048,782.9808,3036.048,0.022587621,0.085274988
0.1004406015,Fruits and Vegetables,182.095,Medium,Tier 3,Grocery Store,3227.1326,884.8482,3227.1326,0.0300589725,0.1004406015
0.09056135225,Household,53.8614,High,Tier 3,Supermarket Type1,3236.7866999999997,853.38915,3236.7866999999997,0.0247182055,0.09056135225
0.09982679575,Baking Goods,51.4008,Medium,Tier 3,Supermarket Type2,2823.82425,705.0822000000001,2823.82425,0.031401956499999994,0.09982679575
0.099104741,Snack Foods,57.6588,High,Tier 3,Supermarket Type1,3143.5747,918.804,3143.5747,0.029539424,0.099104741
0.099104741,Snack Foods,107.7622,Medium,Tier 3,Supermarket Type3,3143.5747,918.804,3143.5747,0.029539424,0.099104741
0.0926762305,Frozen Foods,96.9726,Medium,Tier 2,Supermarket Type1,3079.49145,808.947,3079.49145,0.0264823015,0.0926762305
0.0926762305,Frozen Foods,187.8214,Medium,Tier 2,Supermarket Type1,3079.49145,808.947,3079.49145,0.0264823015,0.0926762305
0.1004406015,Fruits and Vegetables,45.5402,Medium,Tier 1,Supermarket Type1,3227.1326,884.8482,3227.1326,0.0300589725,0.1004406015
0.10196820275,Dairy,144.1102,Small,Tier 1,Supermarket Type1,3296.20935,788.973,3296.20935,0.0312908765,0.10196820275
0.1004406015,Fruits and Vegetables,145.4786,Medium,Tier 1,Supermarket Type1,3227.1326,884.8482,3227.1326,0.0300589725,0.1004406015
0.099104741,Snack Foods,119.6782,Small,Tier 1,Supermarket Type1,3143.5747,918.804,3143.5747,0.029539424,0.099104741
0.1004406015,Fruits and Vegetables,196.4426,High,Tier 3,Supermarket Type1,3227.1326,884.8482,3227.1326,0.0300589725,0.1004406015
0.121126992,Breakfast,56.3614,Small,Tier 1,Supermarket Type1,2970.3002500000002,679.116,2970.3002500000002,0.0584955505,0.121126992
0.0769148715,Health and Hygiene,115.3492,Medium,Tier 3,Supermarket Type2,2884.5785,758.84555,2884.5785,0.022870138,0.0769148715
0.121126992,Breakfast,54.3614,Medium,Tier 1,Supermarket Type1,2970.3002500000002,679.116,2970.3002500000002,0.0584955505,0.121126992
0.08677710175,Hard Drinks,113.2834,Medium,Tier 3,Supermarket Type3,3071.3354,834.9132,3071.3354,0.030711210250000003,0.08677710175
0.10196820275,Dairy,230.5352,Small,Tier 2,Supermarket Type1,3296.20935,788.973,3296.20935,0.0312908765,0.10196820275
0.099104741,Snack Foods,250.8724,High,Tier 3,Supermarket Type1,3143.5747,918.804,3143.5747,0.029539424,0.099104741
0.09982679575,Baking Goods,144.5444,Medium,Tier 3,Supermarket Type3,2823.82425,705.0822000000001,2823.82425,0.031401956499999994,0.09982679575
0.09056135225,Household,196.5084,Small,Tier 2,Supermarket Type1,3236.7866999999997,853.38915,3236.7866999999997,0.0247182055,0.09056135225
0.09982679575,Baking Goods,107.6938,Small,Tier 1,Grocery Store,2823.82425,705.0822000000001,2823.82425,0.031401956499999994,0.09982679575
0.0926762305,Frozen Foods,165.021,Small,Tier 1,Supermarket Type1,3079.49145,808.947,3079.49145,0.0264823015,0.0926762305
0.09056135225,Household,45.906,Medium,Tier 2,Supermarket Type1,3236.7866999999997,853.38915,3236.7866999999997,0.0247182055,0.09056135225
0.099104741,Snack Foods,42.3112,Small,Tier 2,Supermarket Type1,3143.5747,918.804,3143.5747,0.029539424,0.099104741
0.08677710175,Hard Drinks,39.1164,High,Tier 3,Supermarket Type1,3071.3354,834.9132,3071.3354,0.030711210250000003,0.08677710175
0.10196820275,Dairy,45.5086,Medium,Tier 3,Grocery Store,3296.20935,788.973,3296.20935,0.0312908765,0.10196820275
0.102407778,Canned,43.6454,Small,Tier 1,Grocery Store,3101.2964,952.094,3101.2964,0.02747716,0.102407778
0.10196820275,Dairy,55.7956,Medium,Tier 3,Grocery Store,3296.20935,788.973,3296.20935,0.0312908765,0.10196820275
0.0769148715,Health and Hygiene,96.4436,Medium,Tier 3,Supermarket Type2,2884.5785,758.84555,2884.5785,0.022870138,0.0769148715
0.099104741,Snack Foods,256.6672,Medium,Tier 3,Supermarket Type2,3143.5747,918.804,3143.5747,0.029539424,0.099104741
0.0926787895,Breads,93.1436,Medium,Tier 2,Supermarket Type1,3145.9049999999997,968.739,3145.9049999999997,0.024611548,0.0926787895
0.094603404,Soft Drinks,174.8738,Small,Tier 1,Supermarket Type1,2759.0752,771.6622,2759.0752,0.024961677,0.094603404
0.0769148715,Health and Hygiene,146.7102,Medium,Tier 1,Supermarket Type1,2884.5785,758.84555,2884.5785,0.022870138,0.0769148715
0.1004406015,Fruits and Vegetables,128.0678,Medium,Tier 3,Supermarket Type3,3227.1326,884.8482,3227.1326,0.0300589725,0.1004406015
0.094603404,Soft Drinks,122.5388,Medium,Tier 3,Supermarket Type2,2759.0752,771.6622,2759.0752,0.024961677,0.094603404
